time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.3,22.3,22.3,6.59,6.59,1530.0,3.84,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.9841209897891235e-05,5.9841209897891235e-05,22.282701804492387,22.282701804492387,22.282701804492387,6.599534716141603,6.599534716141603,1531.1108612916712,3.8455534625922563,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.968205026806018e-05,5.968205026806018e-05,22.26542096966729,22.26542096966729,22.26542096966729,6.6090709751867465,6.6090709751867465,1532.2113440957323,3.8511026236862205,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.9522541980572554e-05,5.9522541980572554e-05,22.248158956987652,22.248158956987652,22.248158956987652,6.6186078149623455,6.6186078149623455,1533.3014851253824,3.85664741585561,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.936270590549408e-05,5.936270590549408e-05,22.230917227916443,22.230917227916443,22.230917227916443,6.628144273295319,6.628144273295319,1534.3813210938183,3.8621877716741433,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.920256291289049e-05,5.920256291289049e-05,22.213697243916613,22.213697243916613,22.213697243916613,6.637679388012584,6.637679388012584,1535.4508887142379,3.8677236237155355,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.9042133872827505e-05,5.9042133872827505e-05,22.196500466451123,22.196500466451123,22.196500466451123,6.647212196941061,6.647212196941061,1536.5102246998392,3.873254904553507,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.888143965537085e-05,5.888143965537085e-05,22.179328356982936,22.179328356982936,22.179328356982936,6.656741737907667,6.656741737907667,1537.5593657638196,3.8787815467617732,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.872050113058625e-05,5.872050113058625e-05,22.162182376975,22.162182376975,22.162182376975,6.666267048739317,6.666267048739317,1538.5983486193777,3.8843034829140524,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.8559339168539424e-05,5.8559339168539424e-05,22.145063987890282,22.145063987890282,22.145063987890282,6.675787167262932,6.675787167262932,1539.62720997971,3.8898206455840625,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
