time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.6,22.6,22.6,6.84,6.84,1890.0,5.92,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.9919802978732944e-05,5.9919802978732944e-05,22.579814711726776,22.579814711726776,22.579814711726776,6.843816549005478,6.843816549005478,1885.4402701579902,5.903314548309573,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.9839419327303126e-05,5.9839419327303126e-05,22.559640065450196,22.559640065450196,22.559640065450196,6.847640507067461,6.847640507067461,1880.8843064595565,5.886693495996346,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.975885958614776e-05,5.975885958614776e-05,22.539477902088976,22.539477902088976,22.539477902088976,6.851471410919271,6.851471410919271,1876.3321804136801,5.870137581100783,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.967813429570408e-05,5.967813429570408e-05,22.51933006256179,22.51933006256179,22.51933006256179,6.855308797294233,6.855308797294233,1871.7839635293428,5.853647541663349,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.959725399640933e-05,5.959725399640933e-05,22.49919838778735,22.49919838778735,22.49919838778735,6.859152202925672,6.859152202925672,1867.2397273155261,5.8372241157245055,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.9516229228700756e-05,5.9516229228700756e-05,22.47908471868435,22.47908471868435,22.47908471868435,6.863001164546909,6.863001164546909,1862.6995432812114,5.820868041324717,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.9435070533015574e-05,5.9435070533015574e-05,22.458990896171496,22.458990896171496,22.458990896171496,6.866855218891269,6.866855218891269,1858.1634829353802,5.804580056504448,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.935378844979104e-05,5.935378844979104e-05,22.438918761167482,22.438918761167482,22.438918761167482,6.870713902692078,6.870713902692078,1853.6316177870135,5.78836089930416,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.9272393519464354e-05,5.9272393519464354e-05,22.418870154591,22.418870154591,22.418870154591,6.874576752682658,6.874576752682658,1849.1040193450935,5.772211307764317,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
