time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.1,22.1,22.1,7.53,7.53,1166.0,6.87,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.995990148936648e-05,5.995990148936648e-05,22.0846265330028,22.0846265330028,22.0846265330028,7.5309903828827,7.5309903828827,1168.8883128470243,6.854741043621385,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.991970966365156e-05,5.991970966365156e-05,22.069274905812012,22.069274905812012,22.069274905812012,7.531973467846473,7.531973467846473,1171.740711300873,6.839471544405433,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.987942979307388e-05,5.987942979307388e-05,22.05394632692011,22.05394632692011,22.05394632692011,7.532949260068478,7.532949260068478,1174.557416677,6.824193155967085,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.983906714785204e-05,5.983906714785204e-05,22.038642004819543,22.038642004819543,22.038642004819543,7.533917764725877,7.533917764725877,1177.3386502908577,6.808907531921279,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.979862699820468e-05,5.979862699820468e-05,22.02336314800279,22.02336314800279,22.02336314800279,7.5348789869958255,7.5348789869958255,1180.0846334579005,6.793616325882956,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.9758114614350386e-05,5.9758114614350386e-05,22.00811096496231,22.00811096496231,22.00811096496231,7.535832932055484,7.535832932055484,1182.795587493581,6.778321191467056,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.971753526650779e-05,5.971753526650779e-05,21.992886664190564,21.992886664190564,21.992886664190564,7.536779605082012,7.536779605082012,1185.471733713353,6.7630237822885135,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.967689422489551e-05,5.967689422489551e-05,21.977691454180018,21.977691454180018,21.977691454180018,7.537719011252568,7.537719011252568,1188.1132934326697,6.747725751962273,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.9636196759732174e-05,5.9636196759732174e-05,21.96252654342314,21.96252654342314,21.96252654342314,7.538651155744311,7.538651155744311,1190.7204879669841,6.732428754103272,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.959544814123639e-05,5.959544814123639e-05,21.94739314041239,21.94739314041239,21.94739314041239,7.539576043734401,7.539576043734401,1193.29353863175,6.71713444232645,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,5.9554653639626765e-05,5.9554653639626765e-05,21.932292453640233,21.932292453640233,21.932292453640233,7.540493680399997,7.540493680399997,1195.8326667424208,6.701844470246747,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5.9513818525121926e-05,5.9513818525121926e-05,21.917225691599135,21.917225691599135,21.917225691599135,7.541404070918257,7.541404070918257,1198.3380936144492,6.6865604914791,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,5.9472948067940495e-05,5.9472948067940495e-05,21.90219406278156,21.90219406278156,21.90219406278156,7.542307220466341,7.542307220466341,1200.8100405632897,6.671284159638452,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,5.9432047538301084e-05,5.9432047538301084e-05,21.88719877567997,21.88719877567997,21.88719877567997,7.543203134221407,7.543203134221407,1203.2487289043943,6.656017128339739,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
