time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.4,22.4,22.4,7.23,7.23,552.0,6.12,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.98468965957629e-05,5.98468965957629e-05,22.38046034807792,22.38046034807792,22.38046034807792,7.230480163487228,7.230480163487228,551.9993212593135,6.121695710651748,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.969343689757868e-05,5.969343689757868e-05,22.36094244332674,22.36094244332674,22.36094244332674,7.230959919834462,7.230959919834462,551.9972904429723,6.123384804516708,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.953964102810025e-05,5.953964102810025e-05,22.341447906463074,22.341447906463074,22.341447906463074,7.231439259278257,7.231439259278257,551.9939156595533,6.12506720760405,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.9385529109980515e-05,5.9385529109980515e-05,22.32197835820355,22.32197835820355,22.32197835820355,7.231918172055168,7.231918172055168,551.9892050176342,6.126742845922942,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.9231121265872373e-05,5.9231121265872373e-05,22.302535419264775,22.302535419264775,22.302535419264775,7.232396648401753,7.232396648401753,551.9831666257918,6.128411645482553,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.907643761842872e-05,5.907643761842872e-05,22.283120710363374,22.283120710363374,22.283120710363374,7.232874678554566,7.232874678554566,551.9758085926038,6.130073532292054,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.892149829030247e-05,5.892149829030247e-05,22.263735852215966,22.263735852215966,22.263735852215966,7.233352252750162,7.233352252750162,551.9671390266471,6.131728432360616,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.8766323404146514e-05,5.8766323404146514e-05,22.24438246553917,22.24438246553917,22.24438246553917,7.233829361225101,7.233829361225101,551.9571660364992,6.133376271697404,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.861093308261377e-05,5.861093308261377e-05,22.225062171049615,22.225062171049615,22.225062171049615,7.234305994215932,7.234305994215932,551.9458977307371,6.135016976311592,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
