time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.3,22.3,22.3,7.04,7.04,822.0,5.84,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.9804173455342454e-05,5.9804173455342454e-05,22.28382253269962,22.28382253269962,22.28382253269962,7.047675769320613,7.047675769320613,825.5946145527394,5.830361735728543,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.960789119376016e-05,5.960789119376016e-05,22.26766023283756,22.26766023283756,22.26766023283756,7.055352596578166,7.055352596578166,829.1676819360777,5.820780263956249,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.941117895308442e-05,5.941117895308442e-05,22.251514482249938,22.251514482249938,22.251514482249938,7.063029709786289,7.063029709786289,832.7191513029272,5.811255734861557,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.921406247114651e-05,5.921406247114651e-05,22.235386662772886,22.235386662772886,22.235386662772886,7.070706336958611,7.070706336958611,836.2489718062004,5.801788298622906,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.9016567485777715e-05,5.9016567485777715e-05,22.219278156242535,22.219278156242535,22.219278156242535,7.078381706108761,7.078381706108761,839.7570925988095,5.792378105418735,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.881871973480931e-05,5.881871973480931e-05,22.203190344495003,22.203190344495003,22.203190344495003,7.0860550452503706,7.0860550452503706,843.2434628336671,5.783025305427484,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.862054495607259e-05,5.862054495607259e-05,22.18712460936642,22.18712460936642,22.18712460936642,7.093725582397066,7.093725582397066,846.7080316636855,5.773730048827589,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.842206888739883e-05,5.842206888739883e-05,22.17108233269292,22.17108233269292,22.17108233269292,7.1013925455624785,7.1013925455624785,850.1507482417768,5.764492485797491,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.822331726661932e-05,5.822331726661932e-05,22.15506489631062,22.15506489631062,22.15506489631062,7.109055162760237,7.109055162760237,853.5715617208538,5.755312766515628,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.802431583156533e-05,5.802431583156533e-05,22.13907368205565,22.13907368205565,22.13907368205565,7.1167126620039705,7.1167126620039705,856.9704212538285,5.74619104116044,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,5.7825090320068166e-05,5.7825090320068166e-05,22.123110071764142,22.123110071764142,22.123110071764142,7.124364271307307,7.124364271307307,860.3472759936135,5.737127459910365,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5.762566646995909e-05,5.762566646995909e-05,22.107175447272212,22.107175447272212,22.107175447272212,7.13200921868388,7.13200921868388,863.702075093121,5.728122172943841,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,5.7426070019069395e-05,5.7426070019069395e-05,22.091271190416002,22.091271190416002,22.091271190416002,7.139646732147315,7.139646732147315,867.0347677052636,5.719175330439311,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
